the_following_sources_are_not_included_in_the_joint_child_malnutrition_estimates_database,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12
,SUDAN (FORMER),1995,Other,Federal Ministry Of Health; National Nutrition. Department & WHO,"Comprehensive nutrition survey. National Nutrition Department. Khartoum, Sudan, 1997",01977,9295,x,x,x,x,x
SUR,SURINAME,2016-2017,Other,Inter-American Development Bank (IDB); Electricity Bureau of Suriname; The Central Bank of Suriname; Sistemass Integrales Ltd.; DataFruit Suriname,Suriname Survey of Living Conditions 2016-17,03717,2546,x,x,x,x,x
SWE,SWEDEN,2007-2008,Other,Leibniz Institute for Prevention Research and Epidemiology – BIPS GmbH,Sweden 2007-2008 Identification and prevention of dietary- and lifestyle-induced health effects in children and infants Survey,06802,4324,x,x,x,x,x
SYR,SYRIAN ARAB REPUBLIC,2019,SMART,"Nutrition Department, Directorate of Primary Health Care","Nutritional status survey according to SMART methodology, Syria April 2019",03624,3938,x,x,x,x,x
TJK,TAJIKISTAN,1994,Other,CARE; CDC,"Rapid food security and nutrition assessment in Tajikistan. Atlanta: Care International and the Centers for Disease Control and Prevention, 1994",06829,3706,x,x,x,x,x
TLS,TIMOR-LESTE,2016,DHS,General Directorate of Statistcs (GDS) and ICF,"Timor-Leste Demographic and Health Survey 2016. Dili, Timor-Leste and Rockville, Maryland, USA: GDS and ICF",03718,1560,x,x,x,x,x
TGO,TOGO,2006,MICS,Direction Generale de la Statistique et de la Comptabilité Nationale and UNICEF.,"Résultats de l'enquête nationale à indicateurs multiples, Togo 2006. Rapport final, aôut 2007",02882,670,x,x,x,,x
TUN,TUNISIA,1973-1975,NNS,Tunisian National Institute of Nutrition and Food Technology,"Preliminary report of the 1973-1975 Tunisian national nutrition survey. Tunis: Tunisian National Institute of Nutrition and Food Technology, 1976",00240,9297,x,x,x,x,x
TUN,TUNISIA,1994-1995,PAPFAM,"National Baord for Family and Population, Republic of Tunisia; PAPFAM",Tunisia 1994-95 Maternal and Child Health Survey,06900,1026,x,x,x,x,x
TUN,TUNISIA,2015,Other,Statististique Tunisie,"Tunisia Nationale sur le Budget, la Consommation et le Niveau de vie des ménages, 2015",06918,2531,x,x,x,x,x
TUN,TUNISIA,2023,MICS,Ministère de l’Economie et de la Planification - Institut National de la Statistique - UNICEF Tunisie,Résultats de l’enquête par grappes à indicateurs multiples (MICS) - Tunisie 2023: La situation de la mère et de l’enfant en Tunisie : Acquis et perspectives,10621,9144,x,x,x,x,x
UKR,UKRAINE,2002,Other,"Academy of Medical Science of Ukraine, Ministry of Health [Ukraine], Komisarenko Endocrinology and Metabolism, and Institute of Occupational","Health under AMS of Ukraine, State Statistics Committee of Ukraine, UNICEF, CDC. Report of the national micronutrient survey Ukraine. C.: Premier Media, 2004",03719,699,x,x,x,x,x
ARE,UNITED ARAB EMIRATES,2017-2018,STEPS NCD Risk Factors Survey,World Health Organization,United Arab Emirates 2017/2018 National Health Survey,03720,2671,x,x,x,x,x
TZA,UNITED REPUBLIC OF TANZANIA,2019-2020,LSMS,World Bank,Tanzania National Panel Survey 2019-2020 - Extended Panel with Sex Disaggregated Data,07089,4588,x,x,x,x,x
URY,URUGUAY,2019,NNS,Ministerio de Salud Pública (MSP),"Encuesta Nacional de Lactancia, Prácticas de Alimentación y Anemia en menores de 24 meses usuarios del Sistema Nacional Integrado de Salud 2020",07134,4556,x,x,x,x,x
VUT,VANUATU,2023,MICS,Vanuatu Bureau of Statistics,"Vanuatu Multiple Indicator Cluster Survey 2023, Survey Findings  Report. Port Vila, Vanuatu: Vanuatu Bureau of Statistics.",11287,9182,x,x,x,x,x
ZMB,ZAMBIA,2004-2005,LSMS,Central Statistics Office Zambia,Zambia 2004-2005 Living Conditions Monitoring Survey,03721,913,x,x,x,x,x
ZMB,ZAMBIA,2006,LSMS,Central Statistics Office Zambia,Zambia 2006 Living Conditions Monitoring Survey,03722,912,x,x,x,x,x
ZMB,ZAMBIA,2010,LSMS,Central Statiscal Office Zambia,Zambia 2010 Living Conditions Monitoring Survey,03723,911,x,x,x,x,x
ZMB,ZAMBIA,2015,LSMS,"Central Statistical Office (Zambia), World Bank",Zambia Living Conditions Monitoring Survey 2015,07266,1710,x,x,x,x,x
ZMB,ZAMBIA,2022,LSMS,"Central Statistical Office (Zambia), World Bank",Zambia Living Conditions Monitoring Survey 2022,11081,9298,x,x,x,x,x
ZWE,ZIMBABWE,2010,NNS,"Food and Nutrition Council, Zimbabwe",Zimbabwe 2010 National Nutrition Survey,07283,821,x,x,x,x,x
